Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Clonorchis sinensis	Eukaryota	Animals	Flatworms	547.288	44	13634	13634
Byssoonygena ceratinophila	Eukaryota	Fungi	Ascomycetes	27.4549	48.2	0	0
Peltaster fructicola	Eukaryota	Fungi	Ascomycetes	19.0249	51.9	0	0
Penicillium oxalicum	Eukaryota	Fungi	Ascomycetes	30.6551	50.6	0	0
Physeter catodon	Eukaryota	Animals	Mammals	2280.73	41.3	25108	31522
Juglans regia	Eukaryota	Plants	Land Plants	699.673	36.6	41973	55627
Embelia ribes	Eukaryota	Plants	Land Plants	660.51	33.4	0	0
Maylandia zebra	Eukaryota	Animals	Fishes	859.842	41.4002	26932	42889
Gossypium raimondii	Eukaryota	Plants	Land Plants	761.565	33.5284	44678	59057
Acanthisitta chloris	Eukaryota	Animals	Birds	1035.88	41.6	15175	16077
Oryza meridionalis	Eukaryota	Plants	Land Plants	354.611	43.2	0	0
Hipposideros armiger	Eukaryota	Animals	Mammals	2236.58	35.9	13	13
Klebsormidium flaccidum	Eukaryota	Plants	Other Plants	104.21	52.3703	16273	16283
Tinamus guttatus	Eukaryota	Animals	Birds	1047.06	41.5	16739	17873
Malassezia dermatis	Eukaryota	Fungi	Basidiomycetes	7.55124	59	0	0
Oropetium thomaeum	Eukaryota	Plants	Land Plants	243.175	45.3	0	0
Nicotiana sylvestris	Eukaryota	Plants	Land Plants	2221.99	39.7999	38814	48160
Sporothrix pallida	Eukaryota	Fungi	Ascomycetes	37.8279	52.7738	0	0
Periophthalmodon schlosseri	Eukaryota	Animals	Fishes	679.761	40.2	0	0
Anopheles melas	Eukaryota	Animals	Insects	224.162	45.2	0	0
Latrodectus hesperus	Eukaryota	Animals	Other Animals	1137.1	35.7	0	0
Cyberlindnera jadinii	Eukaryota	Fungi	Ascomycetes	12.7073	44.5	5566	5057
Asymmetron lucayanum	Eukaryota	Animals	Other Animals	460.59	40.4	0	0
Columba livia	Eukaryota	Animals	Birds	1018.02	41.2346	0	0
Alligator mississippiensis	Eukaryota	Animals	Other Animals	2161.73	44.4	25012	42388
Candida sorboxylosa	Eukaryota	Fungi	Ascomycetes	10.7149	38.2	0	0
Cadophora malorum	Eukaryota	Fungi	Ascomycetes	47.8	48.3	0	0
Zymoseptoria ardabiliae	Eukaryota	Fungi	Ascomycetes	34.4112	52.9	0	0
Phylloscopus plumbeitarsus	Eukaryota	Animals	Birds	997.399	41.5	0	0
Plasmodium vivax	Eukaryota	Protists	Apicomplexans	27.0137	42.2825	5478	5392
Endoconidiophora polonica	Eukaryota	Fungi	Ascomycetes	32.4562	45.4	0	0
Pseudopleuronectes yokohamae	Eukaryota	Animals	Fishes	547.831	42	0	0
Cryptosporidium parvum	Eukaryota	Protists	Apicomplexans	9.10482	30.1	0	0
Puccinia horiana	Eukaryota	Fungi	Basidiomycetes	66.4031	43.2	0	0
Petromyzon marinus	Eukaryota	Animals	Fishes	885.535	46.8	0	0
Dracunculus medinensis	Eukaryota	Animals	Roundworms	103.751	30.2	0	0
Beauveria rudraprayagi	Eukaryota	Fungi	Ascomycetes	36.5895	50.1	0	0
Saimiri boliviensis boliviensis	Eukaryota	Animals	Mammals	2608.59	41.1	27316	36241
Strongylus vulgaris	Eukaryota	Animals	Roundworms	291.096	38.9	0	0
Ambystoma mexicanum	Eukaryota	Animals	Amphibians	353.835	31.3	0	0
Anopheles minimus	Eukaryota	Animals	Insects	201.793	43.2	0	0
Calonectria pseudoreteaudii	Eukaryota	Fungi	Ascomycetes	63.6925	48.3	0	0
Drechmeria coniospora	Eukaryota	Fungi	Ascomycetes	31.889	55.1	8661	8661
Galeopterus variegatus	Eukaryota	Animals	Mammals	3187.66	41.2	28608	32104
Parus major	Eukaryota	Animals	Birds	1020.31	41.5208	18717	39666
Mrakia psychrophila	Eukaryota	Fungi	Basidiomycetes	27.7701	53.8	0	0
Absidia glauca	Eukaryota	Fungi	Other Fungi	48.7464	44.5	15117	14891
Sus scrofa	Eukaryota	Animals	Mammals	184.282	42.2187	0	0
Ancylostoma ceylanicum	Eukaryota	Animals	Roundworms	313.093	43.5	36687	65583
Aspergillus terreus	Eukaryota	Fungi	Ascomycetes	29.3254	51.1	0	0
Falco peregrinus	Eukaryota	Animals	Birds	1112.06	41.6016	0	0
Alternaria alternata	Eukaryota	Fungi	Ascomycetes	33.0163	51.3	0	0
Aspergillus ustus	Eukaryota	Fungi	Ascomycetes	38.3513	51	706	706
Ogataea polymorpha	Eukaryota	Fungi	Ascomycetes	8.97437	47.9	5251	5173
Taenia solium	Eukaryota	Animals	Flatworms	129.811	43	0	0
Eristalis dimidiata	Eukaryota	Animals	Insects	315.429	43.9	0	0
Poecilia latipinna	Eukaryota	Animals	Fishes	815.145	40.8	30571	47072
Colletotrichum orchidophilum	Eukaryota	Fungi	Ascomycetes	48.5565	51.1	14496	14496
Kluyveromyces marxianus	Eukaryota	Fungi	Ascomycetes	10.9145	40.1475	0	0
Nasutitermes exitiosus	Eukaryota	Animals	Insects	5.23769	30.6	0	0
Solanum habrochaites	Eukaryota	Plants	Land Plants	724.285	33.6	0	0
Caenorhabditis briggsae	Eukaryota	Animals	Roundworms	108.384	37.6966	22736	21959
Hordeum pubiflorum	Eukaryota	Plants	Land Plants	1425.27	47.5	0	0
Hanseniaspora opuntiae	Eukaryota	Fungi	Ascomycetes	8.83196	34.7	4167	4167
