Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Drosophila yakuba	Eukaryota	Animals	Insects	165.71	42.3955	16079	23317
Plasmodium reichenowi	Eukaryota	Protists	Apicomplexans	20.5017	19.1744	5219	5290
Pantherophis guttatus	Eukaryota	Animals	Reptiles	1404.22	38.3	0	0
Dendroctonus ponderosae	Eukaryota	Animals	Insects	261.334	38.5	12838	13031
Dictyostelium firmibasis	Eukaryota	Protists	Other Protists	30.5597	27.8	0	0
Danio rerio	Eukaryota	Animals	Fishes	1371.72	36.6591	41849	46547
Branchiostoma belcheri	Eukaryota	Animals	Other Animals	417.038	39	0	0
Chironomus riparius	Eukaryota	Animals	Insects	154.534	31.4	0	0
Pseudopodoces humilis	Eukaryota	Animals	Birds	1043	41.8001	16561	27572
Fonsecaea nubica	Eukaryota	Fungi	Ascomycetes	33.7874	52.5	11696	11681
Cryptococcus gattii VGII R265	Eukaryota	Fungi	Basidiomycetes	17.4758	47.8	6637	6472
Drosophila rhopaloa	Eukaryota	Animals	Insects	197.376	40.2	16752	23490
Elaeophora elaphi	Eukaryota	Animals	Roundworms	1.48083	56.6	0	0
Capsicum annuum	Eukaryota	Plants	Land Plants	2935.88	35.4061	41504	45410
Drosophila melanogaster	Eukaryota	Animals	Insects	143.726	42.0803	17682	30482
Anopheles farauti No. 4	Eukaryota	Animals	Insects	146.379	44.5	0	0
Myotis lucifugus	Eukaryota	Animals	Mammals	2034.58	42.7	29200	41184
Pelodiscus sinensis	Eukaryota	Animals	Reptiles	2202.48	44.4999	21622	32888
Hypsibius dujardini	Eukaryota	Animals	Other Animals	182.155	45.3	0	0
Phialocephala scopiformis	Eukaryota	Fungi	Ascomycetes	48.8763	47.6	18659	18567
Pieris rapae	Eukaryota	Animals	Insects	245.871	32.3	0	0
Amauroascus mutatus	Eukaryota	Fungi	Ascomycetes	30.376	48.9	0	0
Lucilia sericata	Eukaryota	Animals	Insects	319.935	32.2	0	0
Xenopus tropicalis	Eukaryota	Animals	Amphibians	1440.4	40.5404	26496	39715
Huntiella omanensis	Eukaryota	Fungi	Ascomycetes	31.1252	47.7	0	0
Curvularia papendorfii	Eukaryota	Fungi	Ascomycetes	33.3795	50.6	0	0
Anopheles albimanus	Eukaryota	Animals	Insects	170.508	49.2	0	0
Manis pentadactyla	Eukaryota	Animals	Mammals	2204.73	41.6	0	0
Sorghum bicolor	Eukaryota	Plants	Land Plants	739.15	44.2547	33080	33005
Erysiphe necator	Eukaryota	Fungi	Ascomycetes	50.6582	38.9	0	0
Didymobotryum rigidum	Eukaryota	Fungi	Ascomycetes	41.7297	54.7	0	0
Aspergillus nomius	Eukaryota	Fungi	Ascomycetes	35.2805	49.2	0	0
Anopheles epiroticus	Eukaryota	Animals	Insects	223.487	44.4	0	0
Bos taurus	Eukaryota	Animals	Mammals	2724.98	41.8685	32776	28999
Hanseniaspora uvarum	Eukaryota	Fungi	Ascomycetes	8.80779	31.6	4061	4061
Cicer arietinum	Eukaryota	Plants	Land Plants	510.877	32.215	0	0
Phalaenopsis equestris	Eukaryota	Plants	Land Plants	1064.05	34.5	0	0
Eptesicus fuscus	Eukaryota	Animals	Mammals	2026.63	43.5	22627	24147
Neodiprion lecontei	Eukaryota	Animals	Insects	239.677	39.7	11915	15991
Ustilago hordei	Eukaryota	Fungi	Basidiomycetes	21.1507	51.9	7220	7111
Amazona vittata	Eukaryota	Animals	Birds	1175.4	41.7	0	0
Tyto alba	Eukaryota	Animals	Birds	1120.14	40.2	13995	14896
Macaca mulatta	Eukaryota	Animals	Mammals	11.7537	40.1	92	86
Drosophila sechellia	Eukaryota	Animals	Insects	166.592	42.4982	17135	16484
Hyaloperonospora arabidopsidis	Eukaryota	Protists	Other Protists	70.2575	47.3	0	0
Bactrocera oleae	Eukaryota	Animals	Insects	471.78	36.0997	14032	18715
Loa loa	Eukaryota	Animals	Roundworms	96.4054	30.7991	0	0
Erythrobasidium yunnanense	Eukaryota	Fungi	Basidiomycetes	20.9305	51	0	0
Anopheles farauti	Eukaryota	Animals	Insects	183.103	44.9	0	0
Pilasporangium apinafurcum	Eukaryota	Protists	Other Protists	37.5825	43.5	0	0
Angomonas deanei	Eukaryota	Protists	Kinetoplasts	19.2823	49.6	0	0
Pundamilia nyererei	Eukaryota	Animals	Fishes	830.133	41.9	24446	38583
Talaromyces cellulolyticus	Eukaryota	Fungi	Ascomycetes	36.4028	46.6	11079	10910
Wickerhamia fluorescens	Eukaryota	Fungi	Ascomycetes	13.1785	37.3	0	0
Nannospalax galili	Eukaryota	Animals	Mammals	3061.42	41.6	27848	38552
Ustilago vetiveriae	Eukaryota	Fungi	Basidiomycetes	19.6065	0	0	0
Calycopis cecrops	Eukaryota	Animals	Insects	728.789	35.1	0	0
Thermoascus crustaceus	Eukaryota	Fungi	Ascomycetes	31.6443	49.2	0	0
Cyphomyrmex costatus	Eukaryota	Animals	Insects	300.317	35.3	12418	15690
Brassica napus	Eukaryota	Plants	Land Plants	848.2	37.8	101040	101040
Tipula oleracea	Eukaryota	Animals	Insects	541.697	36.1	0	0
Homo sapiens	Eukaryota	Animals	Mammals	5.90064	45.1	0	0
Copidosoma floridanum	Eukaryota	Animals	Insects	555.045	38.5	12481	16818
Plutella xylostella	Eukaryota	Animals	Insects	186.028	38.3	0	0
Erythranthe guttata	Eukaryota	Plants	Land Plants	322.167	36.3144	30291	31861
Citrus clementina	Eukaryota	Plants	Land Plants	301.365	35.2	25000	34557
Hymenoscyphus laetus	Eukaryota	Fungi	Ascomycetes	36.4738	51.9	0	0
Mesobuthus martensii	Eukaryota	Animals	Other Animals	925.546	29.3	0	0
Anguilla japonica	Eukaryota	Animals	Fishes	1151.14	43.6	0	0
uncultured Bathycoccus	Eukaryota	Plants	Green Algae	5.18308	48.2	0	0
Anopheles merus	Eukaryota	Animals	Insects	288.049	45.8	0	0
Amphinemura sulcicollis	Eukaryota	Animals	Insects	271.925	41.8	0	0
Aspergillus cristatus	Eukaryota	Fungi	Ascomycetes	28.4542	49.5	10344	10344
Hymenolepis nana	Eukaryota	Animals	Flatworms	162.944	37.2	0	0
Capreolus capreolus	Eukaryota	Animals	Mammals	2785.38	41.8	0	0
Thamnophis sirtalis	Eukaryota	Animals	Reptiles	1424.9	41.8	20101	25180
Themira minor	Eukaryota	Animals	Insects	99.8855	42	0	0
Fusarium fujikuroi	Eukaryota	Fungi	Ascomycetes	44.2053	48.2	0	0
Talaromyces islandicus	Eukaryota	Fungi	Ascomycetes	34.7158	46.3	10090	9927
Microtus ochrogaster	Eukaryota	Animals	Mammals	2287.34	42.8312	24260	30752
Glonium stellatum	Eukaryota	Fungi	Ascomycetes	40.5216	48.2	14344	14277
Chrysoporthe cubensis	Eukaryota	Fungi	Ascomycetes	42.6246	55.1	0	0
Phaethon lepturus	Eukaryota	Animals	Birds	1152.96	41.5	15174	16216
Preussia sp. BSL10	Eukaryota	Fungi	Ascomycetes	31.4751	52.8	0	0
Bombyx mori	Eukaryota	Animals	Insects	381.906	37.4	0	0
Ixodes scapularis	Eukaryota	Animals	Other Animals	1765.38	46	24163	20467
Cerapachys biroi	Eukaryota	Animals	Insects	212.826	41.9	13901	23803
Parasteatoda tepidariorum	Eukaryota	Animals	Other Animals	1443.91	32.9	21783	28136
Macaca nemestrina	Eukaryota	Animals	Mammals	2948.7	41.3	37066	62876
Pseudodiploria strigosa	Eukaryota	Animals	Other Animals	167.154	41.1	0	0
Orbicella faveolata	Eukaryota	Animals	Other Animals	487.607	0	0	0
Dermatophagoides farinae	Eukaryota	Animals	Other Animals	53.5453	31.1	0	0
Maconellicoccus hirsutus	Eukaryota	Animals	Insects	163.045	35.3	0	0
Chenopodium quinoa	Eukaryota	Plants	Land Plants	1087.41	0	0	0
Oryctolagus cuniculus	Eukaryota	Animals	Mammals	2737.46	44.0526	29098	38463
Takifugu flavidus	Eukaryota	Animals	Fishes	378.032	45.6	0	0
Monoraphidium neglectum	Eukaryota	Plants	Green Algae	69.7118	64.1131	16807	16755
Aedes albopictus	Eukaryota	Animals	Insects	2111.34	40.3998	13	13
Cimex lectularius	Eukaryota	Animals	Insects	697.643	38.8	0	0
Trichoderma parareesei	Eukaryota	Fungi	Ascomycetes	32.0707	53.7	0	0
Malus domestica	Eukaryota	Plants	Land Plants	1874.77	45.3151	58105	60549
Acremonium furcatum	Eukaryota	Fungi	Ascomycetes	40.3207	57.7	0	0
Eimeria brunetti	Eukaryota	Protists	Apicomplexans	66.8902	47.7	8711	8711
Clogmia albipunctata	Eukaryota	Animals	Insects	256.249	32	0	0
Bursaphelenchus xylophilus	Eukaryota	Animals	Roundworms	73.0857	40.4	0	0
Penicillium arizonense	Eukaryota	Fungi	Ascomycetes	33.7291	49.1	12253	12253
Ziziphus jujuba	Eukaryota	Plants	Land Plants	351.097	31.5	0	0
Cajanus cajan	Eukaryota	Plants	Land Plants	592.817	33.6684	49899	48331
Magnaporthe grisea	Eukaryota	Fungi	Ascomycetes	42.4585	48.8	0	0
Choanephora cucurbitarum	Eukaryota	Fungi	Other Fungi	29.0969	37.4	11977	11977
Atta cephalotes	Eukaryota	Animals	Insects	317.672	34.3992	11095	10657
Pseudogymnoascus sp. WSF 3629	Eukaryota	Fungi	Ascomycetes	35.5171	48.9	11188	11033
Yarrowia sp. JCM 30696	Eukaryota	Fungi	Ascomycetes	21.7505	47.9	0	0
Pseudogymnoascus sp. VKM F-4518 (FW-2643)	Eukaryota	Fungi	Ascomycetes	35.4794	50.2	11619	11619
Phoenix dactylifera	Eukaryota	Plants	Land Plants	556.481	40.1056	28270	38570
Orussus abietinus	Eukaryota	Animals	Insects	201.22	45.3	10524	19281
Dictyostelium lacteum	Eukaryota	Protists	Other Protists	23.3757	29.8	10282	10225
Ascaris suum	Eukaryota	Animals	Roundworms	262.594	37.9	14815	9213
Hammondia hammondi	Eukaryota	Protists	Apicomplexans	67.7014	53.3	8162	8004
Debaryomyces fabryi	Eukaryota	Fungi	Ascomycetes	11.7009	35.6	6027	6027
Heliconius elevatus	Eukaryota	Animals	Insects	24.7588	32.7	0	0
Candida tropicalis	Eukaryota	Fungi	Ascomycetes	15.3268	33.5	0	0
Chrysoporthe deuterocubensis	Eukaryota	Fungi	Ascomycetes	43.9684	55.3	0	0
Dianthus caryophyllus	Eukaryota	Plants	Land Plants	567.662	37.8	0	0
Daubentonia madagascariensis	Eukaryota	Animals	Mammals	2855.37	39.6	0	0
Mortierella alpina	Eukaryota	Fungi	Other Fungi	36.3052	51.8	0	0
Stegodyphus mimosarum	Eukaryota	Animals	Other Animals	2738.7	33.8	27238	27135
Rhodnius prolixus	Eukaryota	Animals	Insects	706.824	37.1	0	0
Acromyrmex echinatior	Eukaryota	Animals	Insects	295.945	34	12325	20241
Rhodotorula toruloides	Eukaryota	Fungi	Basidiomycetes	20.7501	61.9	0	0
Dictyocaulus viviparus	Eukaryota	Animals	Roundworms	160.964	35	14418	14171
Acanthamoeba palestinensis	Eukaryota	Protists	Other Protists	103.483	59.1	0	0
Trichinella patagoniensis	Eukaryota	Animals	Roundworms	49.7732	33.6	15319	19538
Kryptolebias marmoratus	Eukaryota	Animals	Fishes	653.96	38.5	0	0
Sugiyamaella lignohabitans	Eukaryota	Fungi	Ascomycetes	15.9383	44.877	5388	5135
Chaetomium cochliodes	Eukaryota	Fungi	Ascomycetes	34.7458	56	0	0
Geospiza fortis	Eukaryota	Animals	Birds	1065.29	41.7	14568	16724
Anopheles christyi	Eukaryota	Animals	Insects	172.659	42.8	0	0
Paramecium biaurelia	Eukaryota	Protists	Other Protists	76.9631	26.3	0	0
Caligus rogercresseyi	Eukaryota	Animals	Other Animals	398.148	31.6	0	0
Calonectria pseudonaviculata	Eukaryota	Fungi	Ascomycetes	51.439	47.8	0	0
Steinernema carpocapsae	Eukaryota	Animals	Roundworms	85.9347	45.5	0	0
Stagonosporopsis tanaceti	Eukaryota	Fungi	Ascomycetes	40.0605	52.3	0	0
Pseudotsuga menziesii	Eukaryota	Plants	Land Plants	14673.2	36.5	0	0
Bactrocera latifrons	Eukaryota	Animals	Insects	462.505	37.0997	13977	22638
Epicoccum sorghinum	Eukaryota	Fungi	Ascomycetes	33.4202	52.1	0	0
Onchocerca flexuosa	Eukaryota	Animals	Roundworms	86.1755	29.8	0	0
Mandrillus leucophaeus	Eukaryota	Animals	Mammals	3061.99	41.6	27823	38336
Labeotropheus fuelleborni	Eukaryota	Animals	Fishes	70.8584	42.1	0	0
Scartelaos histophorus	Eukaryota	Animals	Fishes	695.009	39.1	0	0
Fusarium sp. NRRL 54464	Eukaryota	Fungi	Ascomycetes	41.9551	48.1	0	0
Schmidtea mediterranea	Eukaryota	Animals	Flatworms	865.587	29.9	0	0
Theileria parva	Eukaryota	Protists	Apicomplexans	8.34761	34.0411	4141	4061
Elephantulus edwardii	Eukaryota	Animals	Mammals	3843.98	41.5	34709	25209
Lepidothrix coronata	Eukaryota	Animals	Birds	1079.58	41.9	18695	36671
Pseudogymnoascus sp. VKM F-4281 (FW-2241)	Eukaryota	Fungi	Ascomycetes	26.5496	50.6	8728	8728
Acidomyces richmondensis	Eukaryota	Fungi	Ascomycetes	26.82	49.7	10338	10338
Felis catus	Eukaryota	Animals	Mammals	2641.34	42.0311	25364	33226
Arachis ipaensis	Eukaryota	Plants	Land Plants	1349.06	37.7351	44198	46410
Ipomoea nil	Eukaryota	Plants	Land Plants	735.231	37.6024	46335	51054
Penicillium freii	Eukaryota	Fungi	Ascomycetes	33.5464	47.4	11739	11739
Pseudococcus longispinus	Eukaryota	Animals	Insects	284.99	33.7	0	0
Schistosoma mattheei	Eukaryota	Animals	Flatworms	340.818	34.8	0	0
Exophiala spinifera	Eukaryota	Fungi	Ascomycetes	32.9123	51.7	12110	12049
Debaryomyces hansenii	Eukaryota	Fungi	Ascomycetes	11.6201	35.5	0	0
Bactrocera dorsalis	Eukaryota	Animals	Insects	414.985	39.8995	12757	17745
Salmo salar	Eukaryota	Animals	Fishes	2966.89	43.8912	59213	97738
Angiostrongylus cantonensis	Eukaryota	Animals	Roundworms	260.768	37.2	0	0
Heterobasidion annosum	Eukaryota	Fungi	Basidiomycetes	27.6963	52.4	0	0
Ceratocystis albifundus	Eukaryota	Fungi	Ascomycetes	26.8753	48.6	0	0
Equus przewalskii	Eukaryota	Animals	Mammals	2395.95	41.3	26953	38416
Thelazia callipaeda	Eukaryota	Animals	Roundworms	75.3921	30.1	0	0
Oryza glaberrima	Eukaryota	Plants	Land Plants	303.295	42.8	0	0
Anoplophora glabripennis	Eukaryota	Animals	Insects	707.728	35.0997	14791	19643
Anopheles maculatus	Eukaryota	Animals	Insects	141.894	44.5	0	0
Sclerotinia homoeocarpa	Eukaryota	Fungi	Ascomycetes	43.3591	43.8	0	0
Wickerhamomyces ciferrii	Eukaryota	Fungi	Ascomycetes	15.9012	30.4	6702	6702
Hevea brasiliensis	Eukaryota	Plants	Land Plants	1550.51	33.4	0	0
Cryptosporidium baileyi	Eukaryota	Protists	Apicomplexans	8.49364	24.2	0	0
Necator americanus	Eukaryota	Animals	Roundworms	244.075	41.3	19472	19153
Rhizopus delemar	Eukaryota	Fungi	Other Fungi	42.0183	35.4	0	0
Baetis rhodani	Eukaryota	Animals	Insects	174.117	40.2	0	0
Hippocampus comes	Eukaryota	Animals	Fishes	493.759	43.7	0	0
Drosophila pseudoobscura	Eukaryota	Animals	Insects	119.048	45	0	0
Rhipicephalus microplus	Eukaryota	Animals	Other Animals	144.692	41.6	0	0
Epichloe sylvatica	Eukaryota	Fungi	Ascomycetes	36.0985	44.8	0	0
Neonectria ditissima	Eukaryota	Fungi	Ascomycetes	43.5592	52.4	0	0
Ceratocystis platani	Eukaryota	Fungi	Ascomycetes	29.1814	48.2	5857	5622
Fusicladium effusum	Eukaryota	Fungi	Ascomycetes	40.5501	46.9	0	0
Oreochromis niloticus	Eukaryota	Animals	Fishes	1009.86	40.7671	37427	58088
Malassezia yamatoensis	Eukaryota	Fungi	Basidiomycetes	8.10684	49.7	0	0
Alloascoidea hylecoeti	Eukaryota	Fungi	Ascomycetes	24.8157	31.1	0	0
Phyllosticta capitalensis	Eukaryota	Fungi	Ascomycetes	32.4544	54.6	0	0
Nanorana parkeri	Eukaryota	Animals	Amphibians	2053.87	42.7	21171	24758
Trachipleistophora hominis	Eukaryota	Fungi	Other Fungi	8.49818	35.3	3253	3212
Aspergillus lentulus	Eukaryota	Fungi	Ascomycetes	30.9561	49.5	9966	9680
Stachybotrys chartarum	Eukaryota	Fungi	Ascomycetes	41.009	51.2	0	0
Crotalus horridus	Eukaryota	Animals	Reptiles	1520.33	34.3	0	0
Glossina morsitans	Eukaryota	Animals	Insects	348.063	34.2	0	0
Brugia malayi	Eukaryota	Animals	Roundworms	93.6591	31.499	11441	11472
Trichinella nelsoni	Eukaryota	Animals	Roundworms	47.436	33.6	13229	17008
Puccinia arachidis	Eukaryota	Fungi	Basidiomycetes	87.6173	52.4	0	0
Sinocyclocheilus grahami	Eukaryota	Animals	Fishes	1750.29	38.7	54207	67410
Elaeis oleifera	Eukaryota	Plants	Land Plants	1402.73	40.8	0	0
Scheffersomyces lignosus	Eukaryota	Fungi	Ascomycetes	16.5925	41.2	0	0
Ascaris lumbricoides	Eukaryota	Animals	Roundworms	316.975	37.8	0	0
Ectocarpus siliculosus	Eukaryota	Other	Other	195.811	53.4936	16566	16269
Aspergillus bombycis	Eukaryota	Fungi	Ascomycetes	37.4746	48.8	12265	12265
Malassezia restricta	Eukaryota	Fungi	Basidiomycetes	7.26022	55.8	0	0
Bos indicus	Eukaryota	Animals	Mammals	2673.95	42.3028	0	0
Ictidomys tridecemlineatus	Eukaryota	Animals	Mammals	1913.37	39.8	0	0
Candida sojae	Eukaryota	Fungi	Ascomycetes	11.7473	32.4	0	0
Dendrobium catenatum	Eukaryota	Plants	Land Plants	1008.53	34.6	0	0
Capronia semi-immersa	Eukaryota	Fungi	Ascomycetes	31.6162	53.7	10971	11909
Acanthamoeba mauritaniensis	Eukaryota	Protists	Other Protists	106.836	58.7	0	0
Camelina sativa	Eukaryota	Plants	Land Plants	547.649	37.1	0	0
Huntiella moniliformis	Eukaryota	Fungi	Ascomycetes	25.4296	47.8	0	0
Endoconidiophora laricicola	Eukaryota	Fungi	Ascomycetes	32.6923	45.4	0	0
Choloepus hoffmanni	Eukaryota	Animals	Mammals	3286.01	40	0	0
Tremella fuciformis	Eukaryota	Fungi	Basidiomycetes	23.6356	57	0	0
Pseudogymnoascus sp. VKM F-103	Eukaryota	Fungi	Ascomycetes	30.2558	50.4	9802	9802
Echinococcus canadensis	Eukaryota	Animals	Flatworms	115.025	0	0	0
Penstemon davidsonii	Eukaryota	Plants	Land Plants	2.37523	35.3	0	0
Fusarium cuneirostrum	Eukaryota	Fungi	Ascomycetes	49.0078	0	0	0
Aureococcus anophagefferens	Eukaryota	Protists	Other Protists	56.6606	67.4	11522	11520
Neotoma lepida	Eukaryota	Animals	Mammals	2353.86	36.2	24320	24320
Rhinopithecus bieti	Eukaryota	Animals	Mammals	2977.07	41.5	31734	49595
Echinococcus granulosus	Eukaryota	Animals	Flatworms	110.838	41.7	11319	11319
Gasterosteus aculeatus	Eukaryota	Animals	Fishes	446.611	44.6	0	0
Rhizopus oryzae	Eukaryota	Fungi	Other Fungi	42.9004	35.3	0	0
Oryza minuta	Eukaryota	Plants	Land Plants	45.1659	43.8116	0	0
Penicillium nordicum	Eukaryota	Fungi	Ascomycetes	30.4213	47.6791	46	17
Capra aegagrus	Eukaryota	Animals	Mammals	2828.87	42.4124	0	0
Meleagris gallopavo	Eukaryota	Animals	Birds	1128.34	41.7219	20903	26423
Paramecium caudatum	Eukaryota	Protists	Other Protists	30.4809	28.6	0	0
Trichogramma pretiosum	Eukaryota	Animals	Insects	195.088	40.6	12874	19091
Tilletia walkeri	Eukaryota	Fungi	Basidiomycetes	24.3447	54.8	7970	7970
Aspergillus calidoustus	Eukaryota	Fungi	Ascomycetes	41.1027	51.1	15139	15384
Oryza longistaminata	Eukaryota	Plants	Land Plants	362.064	43.0773	0	0
Apis florea	Eukaryota	Animals	Insects	230.485	34.8984	12158	17676
Dicrocoelium dendriticum	Eukaryota	Animals	Flatworms	547.921	43.7	0	0
Blastocystis hominis	Eukaryota	Protists	Other Protists	18.8172	45.3	6020	6020
Toxocara canis	Eukaryota	Animals	Roundworms	341.757	26.4	0	0
Lerema accius	Eukaryota	Animals	Insects	298.17	34.7	0	0
Anopheles stephensi	Eukaryota	Animals	Insects	225.369	45.5	0	0
Eurytemora affinis	Eukaryota	Animals	Other Animals	494.891	35.8	0	0
Meira nashicola	Eukaryota	Fungi	Basidiomycetes	18.0157	40	0	0
Prunus mume	Eukaryota	Plants	Land Plants	234.03	38.327	26411	29705
Diaporthe aspalathi	Eukaryota	Fungi	Ascomycetes	55.0299	51.6	0	0
Strigamia maritima	Eukaryota	Animals	Other Animals	176.211	35.8	0	0
Brassica rapa	Eukaryota	Plants	Land Plants	284.129	35.826	48731	52553
Nomascus leucogenys	Eukaryota	Animals	Mammals	2962.06	41.3958	28462	38654
Saccharina japonica	Eukaryota	Other	Other	543.426	49.6	0	0
Rhincodon typus	Eukaryota	Animals	Fishes	2567.63	41.3	0	0
Opisthorchis viverrini	Eukaryota	Animals	Flatworms	620.453	44.2	16356	16356
Bodo saltans	Eukaryota	Protists	Kinetoplasts	39.8644	51.6	31525	18190
Apaloderma vittatum	Eukaryota	Animals	Birds	1070.84	41.4	14490	15288
Orcinus orca	Eukaryota	Animals	Mammals	2372.92	41.7	22496	27870
Pseudogymnoascus sp. VKM F-4517 (FW-2822)	Eukaryota	Fungi	Ascomycetes	32.8804	50.2	10744	10744
Anopheles dirus	Eukaryota	Animals	Insects	216.308	46.4	0	0
Achipteria coleoptrata	Eukaryota	Animals	Other Animals	88.4439	29.8	0	0
Podiceps cristatus	Eukaryota	Animals	Birds	1134.92	41.5	12155	11707
Miichthys miiuy	Eukaryota	Animals	Fishes	619.301	39.3	0	0
Callithrix jacchus	Eukaryota	Animals	Mammals	2620.63	40.8	0	0
Trachymyrmex cornetzi	Eukaryota	Animals	Insects	369.438	36	13700	21290
Sarocladium oryzae	Eukaryota	Fungi	Ascomycetes	32.7781	53.5	0	0
Schizophyllum commune	Eukaryota	Fungi	Basidiomycetes	39.0059	56.7	0	0
Tolypocladium sp. Salcha MEA-2	Eukaryota	Fungi	Ascomycetes	30.833	57.9	0	0
Acanthamoeba lenticulata	Eukaryota	Protists	Other Protists	66.0257	56.9	0	0
Chalaropsis thielavioides	Eukaryota	Fungi	Ascomycetes	23.333	52.1	0	0
Nelumbo nucifera	Eukaryota	Plants	Land Plants	790.339	39	0	0
Phaffia rhodozyma	Eukaryota	Fungi	Basidiomycetes	18.7577	47.2	0	0
Varroa destructor	Eukaryota	Animals	Other Animals	294.134	41.1	0	0
Parastrongyloides trichosuri	Eukaryota	Animals	Roundworms	42.487	28.4	0	0
Acanthamoeba divionensis	Eukaryota	Protists	Other Protists	84.7694	42.7	0	0
Myodes glareolus	Eukaryota	Animals	Mammals	3443.07	25.8	0	0
Falco cherrug	Eukaryota	Animals	Birds	1174.81	41.8	15380	21235
Calycina herbarum	Eukaryota	Fungi	Ascomycetes	69.3081	41.7	0	0
Sebastes rubrivinctus	Eukaryota	Animals	Fishes	756.297	40.7	0	0
Spodoptera frugiperda	Eukaryota	Animals	Insects	358.048	36.6	0	0
Hordeum vulgare	Eukaryota	Plants	Land Plants	98.056	59.6	0	0
Eucalyptus camaldulensis	Eukaryota	Plants	Land Plants	654.922	39.2	0	0
Pteropus vampyrus	Eukaryota	Animals	Mammals	2198.28	40.5	23423	33311
Trypanosoma equiperdum	Eukaryota	Protists	Kinetoplasts	26.228	45.9	0	0
Phytophthora cryptogea	Eukaryota	Protists	Other Protists	63.8393	51.9	0	0
Sarcoptes scabiei	Eukaryota	Animals	Other Animals	56.2624	19.3	35	13
Nasonia vitripennis	Eukaryota	Animals	Insects	295.781	43.2193	14602	24891
Moneuplotes crassus	Eukaryota	Protists	Other Protists	58.5666	36.9	0	0
Calidris pugnax	Eukaryota	Animals	Birds	1173.2	42.5	0	0
Phaeotremella skinneri	Eukaryota	Fungi	Basidiomycetes	20.7883	50.2	0	0
Cladosiphon okamuranus	Eukaryota	Other	Other	169.731	54.4	0	0
Haliaeetus albicilla	Eukaryota	Animals	Birds	1133.55	40.9	15162	19224
Chaoborus trivitattus	Eukaryota	Animals	Insects	269.281	30.6	0	0
Penicillium brasilianum	Eukaryota	Fungi	Ascomycetes	35.8886	49.5	11432	11943
Hanseniaspora vineae	Eukaryota	Fungi	Ascomycetes	11.3833	37.4	0	0
Paralichthys olivaceus	Eukaryota	Animals	Fishes	534.247	41.4	0	0
Solicoccozyma terricola	Eukaryota	Fungi	Basidiomycetes	23.1855	50.8	0	0
Lycaon pictus	Eukaryota	Animals	Mammals	2356.72	41.9253	0	0
Schistosoma curassoni	Eukaryota	Animals	Flatworms	344.202	34.6	0	0
Ceratina calcarata	Eukaryota	Animals	Insects	199.937	41.8	11141	18696
Parhyale hawaiensis	Eukaryota	Animals	Other Animals	4023.76	29.6	0	0
Xiphophorus maculatus	Eukaryota	Animals	Fishes	729.664	39.8002	22254	23484
Fusarium avenaceum	Eukaryota	Fungi	Ascomycetes	41.5907	48.5	13217	13092
Oryza punctata	Eukaryota	Plants	Land Plants	393.817	42.8066	0	0
Diplodia pinea	Eukaryota	Fungi	Ascomycetes	35.242	56.8	0	0
Plasmopara viticola	Eukaryota	Protists	Other Protists	74.7372	43.1	0	0
Caenorhabditis remanei	Eukaryota	Animals	Roundworms	118.549	35.9	0	0
Plasmodium berghei	Eukaryota	Protists	Apicomplexans	18.8112	21.2114	5203	5103
Panagrellus redivivus	Eukaryota	Animals	Roundworms	65.0931	44.3	0	0
Aquilaria agallochum	Eukaryota	Plants	Land Plants	726.71	37.5	0	0
Macrostomum lignano	Eukaryota	Animals	Flatworms	1040.12	46	0	0
Hypochthonius rufulus	Eukaryota	Animals	Other Animals	172.365	27.9	0	0
Phytophthora pluvialis	Eukaryota	Protists	Other Protists	52.7349	54.2	0	0
Monomorium pharaonis	Eukaryota	Animals	Insects	257.977	36.6	13356	22476
Primula vulgaris	Eukaryota	Plants	Land Plants	1.50478	35.6	0	0
Spathaspora gorwiae	Eukaryota	Fungi	Ascomycetes	14.8894	35.2	0	0
Trametes cinnabarina	Eukaryota	Fungi	Basidiomycetes	33.6689	55.6	10419	10233
Phytophthora kernoviae	Eukaryota	Protists	Other Protists	36.7808	50.9	0	0
Piezodorus guildinii	Eukaryota	Animals	Insects	3.17985	36.5	0	0
Neobellieria bullata	Eukaryota	Animals	Insects	396.225	33.8	0	0
Cotesia vestalis	Eukaryota	Animals	Insects	132	30.2	0	0
Trichinella zimbabwensis	Eukaryota	Animals	Roundworms	50.7951	32.9	14764	19269
Penicillium sclerotiorum	Eukaryota	Fungi	Ascomycetes	34.0251	48.6	0	0
Macrophomina phaseolina	Eukaryota	Fungi	Ascomycetes	45.5875	51.3	0	0
Zymoseptoria pseudotritici	Eukaryota	Fungi	Ascomycetes	36.7981	52.1	0	0
Drosophila eugracilis	Eukaryota	Animals	Insects	156.942	40.9	16123	24243
Scedosporium apiospermum	Eukaryota	Fungi	Ascomycetes	43.4371	50.4	10917	8375
Paraphaeosphaeria sporulosa	Eukaryota	Fungi	Ascomycetes	38.464	53.3	14844	14734
Ustilago trichophora	Eukaryota	Fungi	Basidiomycetes	20.6911	53	0	0
Drosophila suzukii	Eukaryota	Animals	Insects	171.59	41.8	0	0
Rhinocladiella mackenziei	Eukaryota	Fungi	Ascomycetes	32.6021	50.4	0	0
Gerris buenoi	Eukaryota	Animals	Insects	1000.16	37.8	0	0
